region,lag,days_to_predict,train_last_date,avg_mae,avg_mse,mae_tot_pos,mse_tot_pos,mae_deaths,mse_deaths,mae_recovered,mse_recovered
Lombardia,13,21,20200630,25.042792792792795,7329.831081081081,29.43918918918919,8668.75,8.81081081081081,735.1891891891892,36.87837837837838,12585.554054054053
Lombardia,13,22,20200630,25.937360178970916,7588.004474272931,31.590604026845636,9432.71812080537,9.570469798657719,830.1476510067114,36.651006711409394,12501.147651006711
Lombardia,13,23,20200630,27.23555555555556,8048.426666666666,34.42,10756.073333333334,10.326666666666666,925.4733333333334,36.96,12463.733333333334
Lombardia,13,24,20200630,28.889624724061814,8768.858719646798,37.90066225165563,12761.662251655629,11.092715231788079,1024.4834437086092,37.675496688741724,12520.430463576158
Lombardia,13,25,20200630,30.313596491228072,9358.620614035086,41.078947368421055,14463.5,11.848684210526315,1122.1907894736842,38.01315789473684,12490.171052631578
Lombardia,13,26,20200630,32.29411764705882,10419.331154684096,45.248366013071895,17382.307189542484,12.594771241830065,1218.6209150326797,39.03921568627451,12657.065359477125
Lombardia,13,27,20200630,34.683982683982684,11932.74025974026,50.142857142857146,21414.896103896102,13.331168831168831,1313.7987012987012,40.577922077922075,13069.525974025973
Lombardia,13,28,20200630,37.38924731182796,13830.081720430107,55.50322580645161,26284.225806451614,14.058064516129033,1407.7483870967742,42.60645161290323,13798.270967741935
Lombardia,13,29,20200630,40.37393162393162,16141.94658119658,61.34615384615385,32109.897435897437,14.782051282051283,1502.1153846153845,44.993589743589745,14813.826923076924
Lombardia,13,30,20200630,43.324840764331206,18446.849256900212,67.1656050955414,37960.31210191083,15.496815286624203,1595.28025477707,47.31210191082803,15784.955414012738
Lombardia,14,5,20200630,9.578282828282829,3945.138888888889,14.469696969696967,6096.560606060605,0.19696969696969696,1.2424242424242424,14.068181818181818,5737.613636363636
Lombardia,14,6,20200630,10.00751879699248,3962.077694235589,14.939849624060152,6095.3007518796985,0.2781954887218045,2.142857142857143,14.804511278195491,5788.789473684212
Lombardia,14,7,20200630,10.619402985074627,4029.8383084577113,16.097014925373134,6265.485074626867,0.31343283582089554,2.3134328358208958,15.447761194029852,5821.716417910448
Lombardia,14,8,20200630,10.68641975308642,4004.128395061729,16.037037037037038,6219.548148148148,0.4074074074074074,3.5481481481481483,15.614814814814816,5789.288888888889
Lombardia,14,9,20200630,12.674019607843134,4816.904411764705,18.764705882352946,7275.058823529412,0.5220588235294118,5.404411764705882,18.735294117647054,7170.25
Lombardia,14,10,20200630,14.474452554744525,5506.6593673965945,21.08029197080292,8046.014598540147,0.6058394160583942,6.416058394160585,21.73722627737226,8467.547445255474
Lombardia,14,11,20200630,15.449275362318842,5724.797101449276,21.92753623188406,8125.710144927535,0.6956521739130435,7.594202898550725,23.72463768115942,9041.08695652174
Lombardia,14,12,20200630,15.83693045563549,5763.8752997601905,21.877697841726622,8068.870503597122,0.7697841726618705,8.410071942446043,24.863309352517987,9214.345323741009
Lombardia,14,13,20200630,16.18095238095238,5800.947619047618,21.728571428571424,8011.242857142856,0.8357142857142857,9.064285714285717,25.978571428571428,9382.535714285714
Lombardia,14,14,20200630,16.609929078014186,5819.0921985815585,22.546099290780138,8087.5390070921985,0.9361702127659576,10.595744680851064,26.34751773049645,9359.141843971629
Lombardia,14,15,20200630,17.14319248826291,5906.776995305164,24.014084507042252,8406.366197183099,0.9929577464788732,11.091549295774648,26.422535211267604,9302.87323943662
Lombardia,14,16,20200630,17.617715617715618,5982.881118881119,24.013986013986013,8351.608391608392,1.0419580419580419,11.461538461538462,27.797202797202797,9585.573426573426
Lombardia,14,17,20200630,18.03240740740741,5999.115740740741,24.71527777777778,8402.118055555555,1.1111111111111112,12.222222222222221,28.270833333333332,9583.006944444445
Lombardia,14,18,20200630,18.43448275862069,6042.475862068965,25.848275862068967,8590.524137931034,1.1517241379310346,12.475862068965517,28.30344827586207,9524.427586206897
Lombardia,14,19,20200630,18.917808219178085,6083.840182648401,26.82191780821918,8725.0,1.2123287671232876,13.075342465753424,28.71917808219178,9513.445205479453
Lombardia,14,20,20200630,19.614512471655328,6260.2902494331065,28.714285714285715,9298.469387755102,1.2312925170068028,13.095238095238095,28.897959183673468,9469.30612244898
Lombardia,14,21,20200630,20.545045045045047,6537.328828828829,30.95945945945946,10116.18918918919,1.25,13.114864864864865,29.425675675675677,9482.682432432432
Lombardia,14,22,20200630,21.619686800894854,6889.740492170022,33.395973154362416,11090.147651006711,1.2416107382550337,13.026845637583893,30.221476510067113,9566.046979865772
Lombardia,14,23,20200630,23.148888888888887,7537.38,36.526666666666664,12702.94,1.28,13.266666666666667,31.64,9895.933333333332
Lombardia,14,24,20200630,24.94701986754967,8430.064017660045,40.16556291390729,14892.960264900663,1.3311258278145695,13.71523178807947,33.34437086092715,10383.51655629139
Lombardia,14,25,20200630,26.484649122807014,9117.519736842105,43.43421052631579,16692.144736842107,1.4210526315789473,15.105263157894736,34.598684210526315,10645.309210526315
Lombardia,14,26,20200630,28.671023965141615,10424.091503267975,47.78431372549019,19868.54248366013,1.5555555555555556,18.169934640522875,36.673202614379086,11385.562091503269
Lombardia,14,27,20200630,31.359307359307362,12356.818181818182,52.98051948051948,24409.032467532466,1.7272727272727273,23.142857142857142,39.37012987012987,12638.27922077922
Lombardia,14,28,20200630,34.348387096774196,14712.782795698926,58.6,29759.787096774195,1.929032258064516,30.019354838709678,42.516129032258064,14348.54193548387
Lombardia,14,29,20200630,37.54700854700855,17410.833333333332,64.56410256410257,35839.02564102564,2.1666666666666665,39.57692307692308,45.91025641025641,16353.897435897436
Lombardia,14,30,20200630,40.73460721868366,20116.99787685775,70.52229299363057,41980.17834394905,2.43312101910828,51.65605095541401,49.2484076433121,18319.15923566879
Marche,5,5,20200630,0.8030303030303031,25.232323232323232,1.1666666666666667,39.40909090909091,0.12121212121212123,0.4848484848484849,1.1212121212121209,35.803030303030305
Marche,5,6,20200630,1.0,32.51378446115288,1.4436090225563907,49.969924812030065,0.15037593984962405,0.6015037593984962,1.4060150375939853,46.969924812030065
Marche,5,7,20200630,1.2338308457711442,43.07960199004975,1.7686567164179106,64.70895522388061,0.1791044776119403,0.7164179104477612,1.7537313432835822,63.8134328358209
Marche,5,8,20200630,1.493827160493827,56.44197530864198,2.1259259259259258,82.74814814814816,0.2074074074074074,0.8296296296296296,2.1481481481481484,85.74814814814816
Marche,5,9,20200630,1.7867647058823528,73.7328431372549,2.536764705882353,106.875,0.2352941176470588,0.9411764705882352,2.588235294117647,113.38235294117645
Marche,5,10,20200630,2.05352798053528,88.22384428223845,2.9197080291970803,128.17518248175182,0.26277372262773724,1.051094890510949,2.9781021897810223,135.44525547445258
Marche,5,11,20200630,2.3260869565217392,103.60628019323671,3.3043478260869565,149.97101449275362,0.2898550724637681,1.1594202898550725,3.3840579710144927,159.68840579710144
Marche,5,12,20200630,2.623501199040767,122.23980815347721,3.733812949640288,177.44604316546761,0.31654676258992803,1.266187050359712,3.8201438848920866,188.0071942446043
